NDC,ICD,RXCUI
51824004924,I24.9,
51824005950,I24.9,
41520027468,I24.9,
23155014501,I24.9,
185072401,I24.9,
52682002301,I24.9,
64980017501,I24.9,
21695057030,I24.9,
52682002401,I24.9,
185074901,I24.9,
64980017601,I24.9,
68163008191,I24.9,
63868024036,I24.9,
71141000568,I24.9,
63868002936,I24.9,
52124001201,I24.9,
49738078408,I24.9,
55319021807,I24.9,
41163039707,I24.9,
55154675200,I24.9,
21130044701,I24.9,
55315028204,I24.9,
67510050804,I24.9,
11673056314,I24.9,
51596000601,I24.9,
61245011613,I24.9,
61245014513,I24.9,
61245014613,I24.9,
61245017513,I24.9,
61245017613,I24.9,
71476010450,I24.9,
71476010350,I24.9,
71476010231,I24.9,
71476010131,I24.9,
68752002294,I24.9,
50844022712,I24.9,
64092014150,I24.9,
63868089810,I24.9,
68084084825,I24.9,
50804037012,I24.9,
70000023701,I24.9,
603016921,I24.9,
63941037012,I24.9,
59726037005,I24.9,
536331301,I24.9,
49348093714,I24.9,
21130008105,I24.9,
71335015701,I24.9,
63739052301,I24.9,
50090000301,I24.9,
15127022757,I24.9,
49483033100,I24.9,
50090295700,I24.9,
53808103401,I24.9,
54569001401,I24.9,
42254014100,I24.9,
70253060014,I24.9,
49349038602,I24.9,
11822089901,I24.9,
41163041678,I24.9,
49035041678,I24.9,
49035027408,I24.9,
69517011560,I24.9,
21130051912,I24.9,
15127073006,I24.9,
59779038912,I24.9,
24385002868,I24.9,
24385036468,I24.9,
24385027868,I24.9,
24385041678,I24.9,
46122029278,I24.9,
113041678,I24.9,
113025968,I24.9,
113027468,I24.9,
113046708,I24.9,
47682001033,I24.9,
47682000933,I24.9,
67751000901,I24.9,
62011002101,I24.9,
62011002801,I24.9,
62011002001,I24.9,
62011021201,I24.9,
62011004001,I24.9,
62107002636,I24.9,
62107002726,I24.9,
70518092300,I24.9,
55316041678,I24.9,
404071213,I24.9,
21130045008,I24.9,
70000017001,I24.9,
37205070868,I24.9,
37205046768,I24.9,
49781009436,I24.9,
49781008499,I24.9,
61786080702,I24.9,
66715684006,I24.9,
16103036605,I24.9,
50090090900,I24.9,
49035056313,I24.9,
70000020202,I24.9,
37808062703,I24.9,
68788967101,I24.9,
64092015036,I24.9,
363039707,I24.9,
49738078618,I24.9,
49483038110,I24.9,
63629632601,I24.9,
63629635601,I24.9,
70000020301,I24.9,
603002622,I24.9,
41163056306,I24.9,
49483032801,I24.9,
49349086802,I24.9,
70253039707,I24.9,
55319022703,I24.9,
69517013630,I24.9,
57896091136,I24.9,
69103252205,I24.9,
47682009933,I24.9,
47682090333,I24.9,
47682011433,I24.9,
47682090433,I24.9,
47682012733,I24.9,
47682009813,I24.9,
47682011313,I24.9,
47682080313,I24.9,
47682012613,I24.9,
47682080413,I24.9,
47682009713,I24.9,
536330501,I24.9,
76237011230,I24.9,
55670046813,I24.9,
55670013013,I24.9,
55670046713,I24.9,
55670012213,I24.9,
55315006050,I24.9,
68391021305,I24.9,
68016072850,I24.9,
63868009050,I24.9,
55315036010,I24.9,
63941036050,I24.9,
68016018850,I24.9,
63868015824,I24.9,
67060021067,I24.9,
52124001001,I24.9,
63868018624,I24.9,
43459015306,I24.9,
43459015206,I24.9,
71105021068,I24.9,
51824026750,I24.9,
68016026450,I24.9,
55315022950,I24.9,
498011301,I24.9,
21695072630,I24.9,
591355101,I24.9,
68308084501,I24.9,
54868209400,I24.9,
11822015702,I24.9,
11822218009,I24.9,
11822645104,I24.9,
16103035708,I24.9,
50090000401,I24.9,
16103036508,I24.9,
50090000204,I24.9,
924010401,I24.9,
924012801,I24.9,
51645071601,I24.9,
60683010613,I24.9,
60683012413,I24.9,
60683012913,I24.9,
60683012113,I24.9,
363016412,I24.9,
63187053000,I24.9,
71335056801,I24.9,
33261015302,I24.9,
52959001800,I24.9,
67544046830,I24.9,
55700033830,I24.9,
24236073457,I24.9,
71335051301,I24.9,
68788067801,I24.9,
66267002630,I24.9,
69189092101,I24.9,
363018330,I24.9,
55910027423,I24.9,
536100862,I24.9,
63941044101,I24.9,
55319060017,I24.9,
41190041678,I24.9,
41190046768,I24.9,
41190000171,I24.9,
41190022778,I24.9,
41190052078,I24.9,
41190048471,I24.9,
49738027468,I24.9,
49738046768,I24.9,
49738031768,I24.9,
49738002368,I24.9,
62309077701,I24.9,
62309077901,I24.9,
76000017936,I24.9,
69536028110,I24.9,
69536018112,I24.9,
49348019107,I24.9,
49348000110,I24.9,
76413033036,I24.9,
49348075707,I24.9,
36800046768,I24.9,
36800025968,I24.9,
36800027468,I24.9,
36800098330,I24.9,
69189201501,I24.9,
904201559,I24.9,
59779024916,I24.9,
11673041687,I24.9,
11673046708,I24.9,
11673070208,I24.9,
68210015001,I24.9,
35418023268,I24.9,
35418021069,I24.9,
10202025968,I25.8,
10202041678,I25.8,
70000021801,I25.8,
61786033519,I25.8,
16103035609,I25.8,
61786068519,I25.8,
33261015200,I25.8,
440713509,I25.8,
75942000110,I25.8,
50090055201,I25.8,
54569423301,I25.8,
68788892501,I25.8,
57896098501,I25.8,
68071420001,I25.8,
61786053202,I25.8,
64725098101,I25.8,
59779041405,I25.8,
21130041412,I25.8,
76000041432,I25.8,
41163041412,I25.8,
55910041412,I25.8,
62049000100,I25.8,
67060023268,I25.8,
49738078101,I25.8,
62011001901,I25.8,
17856090101,I25.8,
62732800601,I25.8,
63981056351,I25.8,
68151290402,I25.8,
63187088230,I25.8,
17714001001,I25.8,
17714012106,I25.8,
50844024929,I25.8,
30142002702,I25.8,
30142010318,I25.8,
24385042902,I25.8,
51824054701,I25.8,
71335060801,I25.8,
68391022705,I25.8,
50804022712,I25.8,
68196060051,I25.8,
41163015712,I25.8,
68196090051,I25.8,
51824016436,I25.8,
63548022701,I25.8,
62011000301,I25.8,
33992227006,I25.8,
21130064506,I25.8,
68196015714,I25.8,
50844021807,I25.8,
50844015712,I25.8,
50844056332,I25.8,
50844095729,I25.8,
21130060006,I25.8,
21130060014,I25.8,
21130060027,I25.8,
21130060032,I25.8,
30142041678,I25.8,
63187071736,I25.8,
70000010301,I25.8,
55319049213,I25.8,
68788018602,I25.8,
30142010418,I25.8,
30142027468,I25.8,
70000017801,I25.8,
63941044012,I25.8,
63981022714,I25.8,
64092011960,I25.8,
63868035203,I25.8,
36800003018,I25.8,
54738011101,I25.8,
54738012836,I25.8,
63940021807,I25.8,
63941022712,I25.8,
53185024912,I25.8,
37205066878,I25.8,
37205075776,I25.8,
70385200502,I25.8,
70000025301,I25.8,
363645007,I25.8,
76000023112,I25.8,
363021807,I25.8,
363043929,I25.8,
35356090030,I25.8,
55154147300,I25.8,
41250011811,I25.8,
55301022712,I25.8,
55301060032,I25.8,
55301082107,I25.8,
55312007712,I25.8,
65437003805,I25.8,
30142046708,I25.8,
54738055903,I25.8,
55315010318,I25.8,
55315015717,I25.8,
55315021807,I25.8,
55315060017,I25.8,
55316022712,I25.8,
363022714,I25.8,
536105429,I25.8,
536308610,I25.8,
63941010310,I25.8,
41163037012,I25.8,
56062025968,I25.8,
56062044012,I25.8,
41250037112,I25.8,
57896090401,I25.8,
76168000910,I25.8,
42507037012,I25.8,
55301015712,I25.8,
11673037130,I25.8,
70518069900,I25.8,
54738054101,I25.8,
55154074808,I25.8,
41250041678,I25.8,
574703412,I25.8,
363015712,I25.8,
42507002712,I25.8,
363056306,I25.8,
48433030501,I25.8,
55312010320,I25.8,
55312010402,I25.8,
11788030204,I25.8,
59779072712,I25.8,
59779073378,I25.8,
55154149400,I25.8,
59726022703,I25.8,
65923024912,I25.8,
65923050700,I25.8,
41163091807,I25.8,
41163094506,I25.8,
41520037012,I25.8,
55910094512,I25.8,
56062053576,I25.8,
42507046768,I25.8,
57344008101,I25.8,
41250027408,I25.8,
41520044012,I25.8,
55910024929,I25.8,
55910056317,I25.8,
57344010501,I25.8,
11788030105,I25.8,
49035015706,I25.8,
57344014601,I25.8,
55315022703,I25.8,
904201959,I25.8,
615786339,I25.8,
57896010925,I25.8,
57896090101,I25.8,
41520003018,I25.8,
574703612,I25.8,
615356830,I25.8,
55670013113,I25.8,
440113090,I25.8,
536105301,I25.8,
904404073,I25.8,
56062002712,I25.8,
46994060032,I25.8,
11673002703,I25.8,
46122026248,I25.8,
59726002103,I25.8,
11534007305,I25.8,
59779077287,I25.8,
59779094507,I25.8,
67091011010,I25.8,
52124001101,I25.8,
59779046708,I25.8,
59779060006,I25.8,
904628880,I25.8,
49781009653,I25.8,
49781009752,I25.8,
15127024136,I25.8,
15127073801,I25.8,
49035037003,I25.8,
11534015511,I25.8,
46122018076,I25.8,
46994015733,I25.8,
48433030301,I25.8,
62732800501,I25.8,
21130091807,I25.8,
59779060532,I25.8,
50332010201,I25.8,
59779015708,I25.8,
59779027408,I25.8,
49348098015,I25.8,
49483001100,I25.8,
59779043929,I25.8,
68016069018,I25.8,
21130095712,I25.8,
50844060001,I25.8,
68016074710,I25.8,
63868035445,I25.8,
17714000936,I25.8,
17714001101,I25.8,
21130039707,I25.8,
63868036320,I25.8,
36800002712,I25.8,
30142037012,I25.8,
33992024906,I25.8,
64092011099,I25.8,
69189404001,I25.8,
63940060962,I25.8,
63941024912,I25.8,
63941039707,I25.8,
42507027468,I25.8,
55312025968,I25.8,
55312046768,I25.8,
41250046708,I25.8,
41520015778,I25.8,
37808015714,I25.8,
55315010418,I25.8,
55315039707,I25.8,
41163052202,I25.8,
41163079707,I25.8,
76000037012,I25.8,
49348098115,I25.8,
49781009551,I25.8,
46122018248,I25.8,
76413030324,I25.8,
70000010201,I25.8,
70000010501,I25.8,
70000010701,I25.8,
49738007703,I25.8,
536100410,I25.8,
536329736,I25.8,
15127087436,I25.8,
49483005200,I25.8,
49638048136,I25.8,
61715004058,I25.8,
60760004724,I25.8,
49614053531,I25.8,
57344008001,I25.8,
15127022865,I25.8,
49483033400,I25.8,
68016008903,I25.8,
68016064212,I25.8,
68016025420,I25.8,
68016068936,I25.8,
50090294000,I25.8,
50090283200,I25.8,
50090161704,I25.8,
21130015712,I25.8,
21130021807,I25.8,
63187029772,I25.8,
63629282501,I25.8,
53808102801,I25.8,
52204011199,I25.8,
63739052201,I25.8,
21695066600,I25.8,
69168031806,I25.8,
54868119800,I25.8,
69168028801,I25.8,
69168031201,I25.8,
69168033140,I25.8,
363041407,I25.8,
55154675500,I25.8,
54868240503,I25.8,
76237011330,I25.8,
603002436,I25.8,
67046016230,I25.8,
49638000102,I25.8,
55154149300,I25.8,
603016821,I25.8,
52204010399,I25.8,
54868486400,I25.8,
54868244000,I25.8,
49349016302,I25.8,
50090238900,I25.8,
61919042071,I25.8,
70518003000,I25.8,
33992015707,I25.8,
363069112,I25.8,
69618001601,I25.8,
68071318901,I25.8,
68071408101,I25.8,
69618001501,I25.8,
51532023202,I25.8,
69103250105,I25.8,
37808060032,I25.8,
41250060014,I25.8,
63868037305,I25.8,
41250078008,I25.8,
69618001436,I25.8,
37808024601,I25.8,
69618001702,I25.8,
41250014601,I25.8,
36800088008,I25.8,
115171113,I25.8,
93304006,I25.8,
54057521,I25.8,
49884000702,I25.8,
60687030532,I25.8,
42291011660,I25.8,
67091012236,I25.8,
615350831,I25.8,
68071414802,I25.8,
67544052460,I25.8,
21695068400,I25.8,
50436012701,I25.8,
21130050308,I25.8,
21130010412,I25.8,
67046016630,I25.8,
67046016530,I25.8,
63941015712,I25.8,
904200940,I25.8,
54569000504,I25.8,
67091012436,I25.8,
70882012230,I25.8,
68210001506,I25.8,
68210002003,I25.8,
498200103,I25.8,
113077390,I25.8,
280202010,I25.8,
67751017201,I25.8,
280211010,I25.8,
280208018,I25.8,
280209036,I25.8,
280200010,I25.8,
47682045647,I25.8,
70264001301,I25.8,
70262030250,I25.8,
68391041690,I25.8,
70000014701,I25.8,
59779018330,I25.8,
52959037000,I25.8,
143178501,I25.8,
55289004015,I25.8,
54569033904,I25.8,
66336061930,I25.8,
21695035460,I25.8,
63629295101,I25.8,
49999011560,I25.8,
68084093432,I25.8,
33261092230,I25.8,
591321901,I25.8,
55700012960,I25.8,
527155201,I25.8,
50090158000,I25.8,
16590091130,I25.8,
54569655400,I25.8,
21695013960,I25.8,
54569837200,I25.8,
63629295201,I25.8,
591354601,I25.8,
527131201,I25.8,
54868103701,I25.8,
54569033702,I25.8,
68308031210,I25.8,
41520046768,I25.8,
41520025968,I25.8,
51824005501,I25.8,
51824005736,I25.8,
51824004924,I25.8,
51824005950,I25.8,
41520027468,I25.8,
23155014501,I25.8,
185072401,I25.8,
52682002301,I25.8,
64980017501,I25.8,
21695057030,I25.8,
52682002401,I25.8,
185074901,I25.8,
64980017601,I25.8,
68163008191,I25.8,
63868024036,I25.8,
71141000568,I25.8,
63868002936,I25.8,
52124001201,I25.8,
49738078408,I25.8,
55319021807,I25.8,
41163039707,I25.8,
55154675200,I25.8,
21130044701,I25.8,
55315028204,I25.8,
67510050804,I25.8,
11673056314,I25.8,
51596000601,I25.8,
61245011613,I25.8,
61245014513,I25.8,
61245014613,I25.8,
61245017513,I25.8,
61245017613,I25.8,
71476010450,I25.8,
71476010350,I25.8,
71476010231,I25.8,
71476010131,I25.8,
68752002294,I25.8,
50844022712,I25.8,
64092014150,I25.8,
63868089810,I25.8,
68084084825,I25.8,
50804037012,I25.8,
70000023701,I25.8,
603016921,I25.8,
63941037012,I25.8,
59726037005,I25.8,
536331301,I25.8,
49348093714,I25.8,
21130008105,I25.8,
71335015701,I25.8,
63739052301,I25.8,
50090000301,I25.8,
15127022757,I25.8,
49483033100,I25.8,
50090295700,I25.8,
53808103401,I25.8,
54569001401,I25.8,
42254014100,I25.8,
70253060014,I25.8,
49349038602,I25.8,
11822089901,I25.8,
41163041678,I25.8,
49035041678,I25.8,
49035027408,I25.8,
69517011560,I25.8,
21130051912,I25.8,
15127073006,I25.8,
59779038912,I25.8,
24385002868,I25.8,
24385036468,I25.8,
24385027868,I25.8,
24385041678,I25.8,
46122029278,I25.8,
113041678,I25.8,
113025968,I25.8,
113027468,I25.8,
113046708,I25.8,
47682001033,I25.8,
47682000933,I25.8,
67751000901,I25.8,
62011002101,I25.8,
62011002801,I25.8,
62011002001,I25.8,
62011021201,I25.8,
62011004001,I25.8,
62107002636,I25.8,
62107002726,I25.8,
70518092300,I25.8,
55316041678,I25.8,
404071213,I25.8,
21130045008,I25.8,
70000017001,I25.8,
37205070868,I25.8,
37205046768,I25.8,
49781009436,I25.8,
49781008499,I25.8,
61786080702,I25.8,
66715684006,I25.8,
16103036605,I25.8,
50090090900,I25.8,
49035056313,I25.8,
70000020202,I25.8,
37808062703,I25.8,
68788967101,I25.8,
64092015036,I25.8,
363039707,I25.8,
49738078618,I25.8,
49483038110,I25.8,
63629632601,I25.8,
63629635601,I25.8,
70000020301,I25.8,
603002622,I25.8,
41163056306,I25.8,
49483032801,I25.8,
49349086802,I25.8,
70253039707,I25.8,
55319022703,I25.8,
69517013630,I25.8,
57896091136,I25.8,
69103252205,I25.8,
47682009933,I25.8,
47682090333,I25.8,
47682011433,I25.8,
47682090433,I25.8,
47682012733,I25.8,
47682009813,I25.8,
47682011313,I25.8,
47682080313,I25.8,
47682012613,I25.8,
47682080413,I25.8,
47682009713,I25.8,
536330501,I25.8,
76237011230,I25.8,
55670046813,I25.8,
55670013013,I25.8,
55670046713,I25.8,
55670012213,I25.8,
55315006050,I25.8,
68391021305,I25.8,
68016072850,I25.8,
63868009050,I25.8,
55315036010,I25.8,
63941036050,I25.8,
68016018850,I25.8,
63868015824,I25.8,
67060021067,I25.8,
52124001001,I25.8,
63868018624,I25.8,
43459015306,I25.8,
43459015206,I25.8,
71105021068,I25.8,
51824026750,I25.8,
68016026450,I25.8,
55315022950,I25.8,
498011301,I25.8,
21695072630,I25.8,
591355101,I25.8,
68308084501,I25.8,
54868209400,I25.8,
11822015702,I25.8,
11822218009,I25.8,
11822645104,I25.8,
16103035708,I25.8,
50090000401,I25.8,
16103036508,I25.8,
50090000204,I25.8,
924010401,I25.8,
924012801,I25.8,
51645071601,I25.8,
60683010613,I25.8,
60683012413,I25.8,
60683012913,I25.8,
60683012113,I25.8,
363016412,I25.8,
63187053000,I25.8,
71335056801,I25.8,
33261015302,I25.8,
52959001800,I25.8,
67544046830,I25.8,
55700033830,I25.8,
24236073457,I25.8,
71335051301,I25.8,
68788067801,I25.8,
66267002630,I25.8,
69189092101,I25.8,
363018330,I25.8,
55910027423,I25.8,
536100862,I25.8,
63941044101,I25.8,
55319060017,I25.8,
41190041678,I25.8,
41190046768,I25.8,
41190000171,I25.8,
41190022778,I25.8,
41190052078,I25.8,
41190048471,I25.8,
49738027468,I25.8,
49738046768,I25.8,
49738031768,I25.8,
49738002368,I25.8,
62309077701,I25.8,
62309077901,I25.8,
76000017936,I25.8,
69536028110,I25.8,
69536018112,I25.8,
49348019107,I25.8,
49348000110,I25.8,
76413033036,I25.8,
49348075707,I25.8,
36800046768,I25.8,
36800025968,I25.8,
36800027468,I25.8,
36800098330,I25.8,
69189201501,I25.8,
904201559,I25.8,
59779024916,I25.8,
11673041687,I25.8,
11673046708,I25.8,
11673070208,I25.8,
68210015001,I25.8,
35418023268,I25.8,
35418021069,I25.8,
10202025968,I25.9,
10202041678,I25.9,
70000021801,I25.9,
61786033519,I25.9,
16103035609,I25.9,
61786068519,I25.9,
33261015200,I25.9,
440713509,I25.9,
75942000110,I25.9,
50090055201,I25.9,
54569423301,I25.9,
68788892501,I25.9,
57896098501,I25.9,
68071420001,I25.9,
61786053202,I25.9,
64725098101,I25.9,
59779041405,I25.9,
21130041412,I25.9,
76000041432,I25.9,
41163041412,I25.9,
55910041412,I25.9,
62049000100,I25.9,
67060023268,I25.9,
49738078101,I25.9,
62011001901,I25.9,
17856090101,I25.9,
62732800601,I25.9,
63981056351,I25.9,
68151290402,I25.9,
63187088230,I25.9,
17714001001,I25.9,
17714012106,I25.9,
50844024929,I25.9,
30142002702,I25.9,
30142010318,I25.9,
24385042902,I25.9,
51824054701,I25.9,
71335060801,I25.9,
68391022705,I25.9,
50804022712,I25.9,
68196060051,I25.9,
41163015712,I25.9,
68196090051,I25.9,
51824016436,I25.9,
63548022701,I25.9,
62011000301,I25.9,
33992227006,I25.9,
21130064506,I25.9,
68196015714,I25.9,
50844021807,I25.9,
50844015712,I25.9,
50844056332,I25.9,
50844095729,I25.9,
21130060006,I25.9,
21130060014,I25.9,
21130060027,I25.9,
21130060032,I25.9,
30142041678,I25.9,
63187071736,I25.9,
70000010301,I25.9,
55319049213,I25.9,
68788018602,I25.9,
30142010418,I25.9,
30142027468,I25.9,
70000017801,I25.9,
63941044012,I25.9,
63981022714,I25.9,
64092011960,I25.9,
63868035203,I25.9,
36800003018,I25.9,
54738011101,I25.9,
54738012836,I25.9,
63940021807,I25.9,
63941022712,I25.9,
53185024912,I25.9,
37205066878,I25.9,
37205075776,I25.9,
70385200502,I25.9,
70000025301,I25.9,
363645007,I25.9,
76000023112,I25.9,
363021807,I25.9,
363043929,I25.9,
35356090030,I25.9,
55154147300,I25.9,
41250011811,I25.9,
55301022712,I25.9,
55301060032,I25.9,
55301082107,I25.9,
55312007712,I25.9,
65437003805,I25.9,
30142046708,I25.9,
54738055903,I25.9,
55315010318,I25.9,
55315015717,I25.9,
55315021807,I25.9,
55315060017,I25.9,
55316022712,I25.9,
363022714,I25.9,
536105429,I25.9,
536308610,I25.9,
63941010310,I25.9,
41163037012,I25.9,
56062025968,I25.9,
56062044012,I25.9,
41250037112,I25.9,
57896090401,I25.9,
76168000910,I25.9,
42507037012,I25.9,
55301015712,I25.9,
11673037130,I25.9,
70518069900,I25.9,
54738054101,I25.9,
55154074808,I25.9,
41250041678,I25.9,
574703412,I25.9,
363015712,I25.9,
42507002712,I25.9,
363056306,I25.9,
48433030501,I25.9,
55312010320,I25.9,
55312010402,I25.9,
11788030204,I25.9,
59779072712,I25.9,
59779073378,I25.9,
55154149400,I25.9,
59726022703,I25.9,
65923024912,I25.9,
65923050700,I25.9,
41163091807,I25.9,
41163094506,I25.9,
41520037012,I25.9,
55910094512,I25.9,
56062053576,I25.9,
42507046768,I25.9,
57344008101,I25.9,
41250027408,I25.9,
41520044012,I25.9,
55910024929,I25.9,
55910056317,I25.9,
57344010501,I25.9,
11788030105,I25.9,
49035015706,I25.9,
57344014601,I25.9,
55315022703,I25.9,
904201959,I25.9,
615786339,I25.9,
57896010925,I25.9,
57896090101,I25.9,
41520003018,I25.9,
574703612,I25.9,
615356830,I25.9,
55670013113,I25.9,
440113090,I25.9,
536105301,I25.9,
904404073,I25.9,
56062002712,I25.9,
46994060032,I25.9,
11673002703,I25.9,
46122026248,I25.9,
59726002103,I25.9,
11534007305,I25.9,
59779077287,I25.9,
59779094507,I25.9,
67091011010,I25.9,
52124001101,I25.9,
59779046708,I25.9,
59779060006,I25.9,
904628880,I25.9,
49781009653,I25.9,
49781009752,I25.9,
15127024136,I25.9,
15127073801,I25.9,
49035037003,I25.9,
11534015511,I25.9,
46122018076,I25.9,
46994015733,I25.9,
48433030301,I25.9,
62732800501,I25.9,
21130091807,I25.9,
59779060532,I25.9,
50332010201,I25.9,
59779015708,I25.9,
59779027408,I25.9,
49348098015,I25.9,
49483001100,I25.9,
59779043929,I25.9,
68016069018,I25.9,
21130095712,I25.9,
50844060001,I25.9,
