CPT Code,Invalid Gender,Description
00842,M,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; AMNIOCENTESIS
00846,M,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; RADICAL HYSTERECTOMY
00851,M,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; TUBAL LIGATION/TRANSECTION
00865,F,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)"
00906,M,ANESTHESIA FOR; VULVECTOMY
00908,F,ANESTHESIA FOR; PERINEAL PROSTATECTOMY
00914,F,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE
00920,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); NOT OTHERWISE SPECIFIED
00921,F,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); VASECTOMY, UNILATERAL OR BILATERAL"
00922,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); SEMINAL VESICLES
00924,F,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); UNDESCENDED TESTIS, UNILATERAL OR BILATERAL"
00926,F,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL ORCHIECTOMY, INGUINAL"
00928,F,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL ORCHIECTOMY, ABDOMINAL"
00930,F,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); ORCHIOPEXY, UNILATERAL OR BILATERAL"
00932,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); COMPLETE AMPUTATION OF PENIS
00934,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL AMPUTATION OF PENIS WITH BILATERAL INGUINAL LYMPHADENECTOMY
00936,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL AMPUTATION OF PENIS WITH BILATERAL INGUINAL AND ILIAC LYMPHADENEC
00938,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); INSERTION OF PENILE PROSTHESIS (PERINEAL APPROACH)
00940,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); NOT OTHERWISE SPECIFIED"
00942,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); COLPOTOMY, VAGINECTOMY, COLPORRHAPHY, AND OPEN URETHIA"
00944,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); VAGINAL HYSTERECTOMY"
00948,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); CERVICAL CERCLAGE"
00950,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); CULDOSCOPY"
00952,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); HYSTEROSCOPY AND/OR HYSTEROSALPINGOGRAPHY"
01960,M,ANESTHESIA FOR VAGINAL DELIVERY ONLY
01961,M,ANESTHESIA FOR CESAREAN DELIVERY ONLY
01962,M,ANESTHESIA FOR URGENT HYSTERECTOMY FOLLOWING DELIVERY
01963,M,ANESTHESIA FOR CESAREAN HYSTERECTOMY WITHOUT ANY LABOR ANALGESIA/ANESTHESIA CARE
01967,M,NEURAXIAL LABOR ANALGESIA/ANESTHESIA FOR PLANNED VAGINAL DELIVERY (THIS INCLUDES ANY REPEAT SUBARACHNOID NEEDLE PLACEMENT AND DRUG INJECTION AND/OR ANY NECESSARY REPLACEMENT OF AN EPIDURAL CATHETER DURING LABOR)
01968,M,ANESTHESIA FOR CESAREAN DELIVERY FOLLOWING NEURAXIAL LABOR ANALGESIA/ANESTHESIA (LIST SEPARATELY ADDITION TO CODE FOR PRIMARY PROCEDURE PERFORMED)
01969,M,ANESTHESIA FOR CESAREAN HYSTERECTOMY FOLLOWING NEURAXIAL LABOR ANALGESIA/ANESTHESIA (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE PERFORMED)
11976,M,"REMOVAL, IMPLANTABLE CONTRACEPTIVE CAPSULES"
19318,M,REDUCTION MAMMAPLASTY MASTECTOMY OR IN RECONSTRUCTION
19342,M,DELAYED INSERTION OF BREAST PROSTHESIS FOLLOWING MASTOPEXY  
36460,M,"TRANSFUSION, INTRAUTERINE, FETAL"
37788,F,"PENILE, REVASCULARIZATION, ARTERY, WITH OR WITHOUT VEIN GRAFT"
37790,F,PENILE VENOUS OCCLUSIVE PROCEDURE
46744,M,"REPAIR OF CLOACAL ANOMALY BY ANORECTOVAGINOPLASTY AND URETHROPLASTY, SACROPERINEAL APPROACH"
46746,M,"REPAIR OF CLOACAL ANOMALY BY ANORECTOVAGINOPLASTY AND URETHROPLASTY, COMBINED ABDOMINAL AND SACROPERINEAL APPROACH"
46748,M,"REPAIR OF CLOACAL ANOMALY BY ANORECTOVAGINOPLASTY AND URETHROPLASTY, COMBINED ABDOMINAL AND SACROPERINEAL APPROACH; WITH VAGINAL LENGTHENING BY INTESTINAL GRAFT OR PEDICLE FLAPS"
50722,M,URETEROLYSIS FOR OVARIAN VEIN SYNDROME
51845,M,"ABDOMINO-VAGINAL VESICAL NECK SUSPENSION, WITH OR WITHOUT ENDOSCOPIC CONTROL (EG, STAMEY, RAZ, MODIFIED PEREYRA)"
51900,M,"CLOSURE OF VESICOVAGINAL FISTULA, ABDOMINAL APPROACH"
51920,M,CLOSURE OF VESICOUTERINE FISTULA
51925,M,CLOSURE OF VESICOUTERINE FISTULA; WITH HYSTERECTOMY
51992,M,"LAPAROSCOPY, SURGICAL; SLING OPERATION FOR STRESS INCONTINENCE (EG, FASCIA OR SYNTHETIC)"
52010,F,"CYSTOURETHROSCOPY, WITH EJACULATORY DUCT CATHETERIZATION, WITH OR WITHOUT IRRIGATION, INSTILLATION, OR DUCT RADIOGRAPHY, EXCLUSIVE OF RADIOLOGIC SERVICE"
52270,M,"CYSTOURETHROSCOPY, WITH INTERNAL URETHROTOMY; FEMALE"
52275,F,"CYSTOURETHROSCOPY, WITH INTERNAL URETHROTOMY; MALE"
52285,M,"CYSTOURETHROSCOPY FOR TREATMENT OF FEMALE URETHRAL SYNDROME: URETHRAL MEATOTOMY, URETHRAL DILATION, INTERNAL URETHROTOMY, LYSIS URETHROVAGINAL SEPTAL"
52450,F,TRANSURETHRAL INCISION OF PROSTATE
52601,F,"TRANSURETHRAL ELECTROSURGICAL RESECTION PROSTATE, INC CONTROL OF POSTOPERATIVE BLEEDING, COMPLETE (VASECTOMY, MEATOTOMY, CYSTOURETHROSCOPY, URETHRA"
52630,F,TRANSURETHRAL RESECTION; OF REGROWTH OF OBSTRUCTIVE TISSUE LONGER THAN ONE YEAR POSTOPERATIVE
52640,F,TRANSURETHRAL RESECTION; OF POSTOPERATIVE BLADDER NECK CONTRACTURE
52647,F,"NON-CONTACT LASER COAGULATION OF PROSTATE, INCLUDING CONTROL OF POSTOPERATIVE BLEEDING, COMPLETE (VASECTOMY, MEATOTOMY, CYSTOURETHROSCOPY, URETHRALC"
52648,F,"CONTACT LASER VAPORIZATION W W/O TRANSURETHRAL RESECTION PROSTATE, INC CONTROL POSTOPERATIVE BLEEDING, COMPLETE (VASECTOMY, MEATOTOMY, CYSTOURETHR"
52700,F,TRANSURETHRAL DRAINAGE OF PROSTATIC ABSCESS
53060,M,DRAINAGE OF SKENE'S GLAND ABSCESS OR CYST
53210,M,"URETHRECTOMY, TOTAL, INCLUDING CYSTOSTOMY; FEMALE"
53215,F,"URETHRECTOMY, TOTAL, INCLUDING CYSTOSTOMY; MALE"
53230,M,EXCISION OF URETHRAL DIVERTICULUM (SEPARATE PROCEDURE); FEMALE
53235,F,EXCISION OF URETHRAL DIVERTICULUM (SEPARATE PROCEDURE); MALE
53250,F,EXCISION OF BULBOURETHRAL GLAND (COWPER'S GLAND)
53270,M,EXCISION OR FULGURATION; SKENE'S GLANDS
53275,M,EXCISION OR FULGURATION; URETHRAL PROLAPSE
53410,F,"URETHROPLASTY, ONE-STAGE RECONSTRUCTION OF MALE ANTERIOR URETHRA"
53415,F,"URETHROPLASTY, TRANSPUBIC OR PERINEAL, ONE STAGE, FOR RECONSTRUCTION OR REPAIR OF PROSTATIC OR MEMBRANOUS URETHRA"
53420,F,"URETHROPLASTY, TWO-STAGE RECONSTRUCTION OR REPAIR OF PROSTATIC OR MEMBRANOUS URETHRA; FIRST STAGE"
53425,F,"URETHROPLASTY, TWO-STAGE RECONSTRUCTION OR REPAIR OF PROSTATIC OR MEMBRANOUS URETHRA; SECOND STAGE"
53430,M,"URETHROPLASTY, RECONSTRUCTION OF FEMALE URETHRA"
53440,F,"SLING OPERATION FOR CORRECTION OF MALE URINARY INCONTINENCE (EG, FASCIA OR SYNTHETIC)"
53442,F,"REMOVAL OR REVISION OF SLING FOR MALE URINARY INCONTINENCE (EG, FASCIA OR SYNTHETIC)"
53502,M,"URETHRORRHAPHY, SUTURE OF URETHRAL WOUND OR INJURY, FEMALE"
53505,F,"URETHRORRHAPHY, SUTURE OF URETHRAL WOUND OR INJURY; PENILE"
53515,F,"URETHRORRHAPHY, SUTURE OF URETHRAL WOUND OR INJURY; PROSTATOMEMBRANOUS"
53520,F,"CLOSURE OF URETHROSTOMY OR URETHROCUTANEOUS FISTULA, MALE (SEPARATE PROCEDURE)"
53600,F,"DILATION OF URETHRAL STRICTURE BY PASSAGE OF SOUND OR URETHRAL DILATOR, MALE; INITIAL"
53601,F,"DILATION OF URETHRAL STRICTURE BY PASSAGE OF SOUND OR URETHRAL DILATOR, MALE; SUBSEQUENT"
53605,F,"DILATION OF URETHRAL STRICTURE OR VESICAL NECK BY PASSAGE OF SOUND OR URETHRAL DILATOR, MALE, GENERAL OR CONDUCTION (SPINAL) ANESTHESIA"
53620,F,"DILATION OF URETHRAL STRICTURE BY PASSAGE OF FILIFORM AND FOLLOWER, MALE; INITIAL"
53621,F,"DILATION OF URETHRAL STRICTURE BY PASSAGE OF FILIFORM AND FOLLOWER, MALE; SUBSEQUENT"
53660,M,DILATION OF FEMALE URETHRA INCLUDING SUPPOSITORY AND/OR INSTILLATION; INITIAL
53661,M,DILATION OF FEMALE URETHRA INCLUDING SUPPOSITORY AND/OR INSTILLATION; SUBSEQUENT
53665,M,"DILATION OF FEMALE URETHRA, GENERAL OR CONDUCTION (SPINAL) ANESTHESIA"
53850,F,TRANSURETHRAL DESTRUCTION OF PROSTATE TISSUE; BY MICROWAVE THERMOTHERAPY
53852,F,TRANSURETHRAL DESTRUCTION OF PROSTATE TISSUE; BY RADIOFREQUENCY THERMOTHERAPY
54000,F,"SLITTING OF PREPUCE, DORSAL OR LATERAL (SEPARATE PROCEDURE); NEWBORN"
54001,F,"SLITTING OF PREPUCE, DORSAL OR LATERAL (SEPARATE PROCEDURE); EXCEPT NEWBORN"
54015,F,"INCISION AND DRAINAGE OF PENIS, DEEP"
54050,F,"DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE; CHEMICAL"
54055,F,"DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE; ELECTRODESICCATION"
54056,F,"DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE;CRYOSURGERY"
54057,F,"DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE; LASER SURGERY"
54060,F,"DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE SURGICAL EXCISION"
54065,F,DESTRUCTION OF LESION(S)  PENIS (EGCONDYLOMA  PAPILLOMA MOLLUSCUM CONTAGIOSUM HERPETIC VESICLE)  EXTENSIVE (EG LASER SURGERY ELECTRO SURGERY
54100,F,BIOPSY OF PENIS (SEPARATE PROCEDURE)
54105,F,BIOPSY OF PENIS; DEEP STRUCTURES
54110,F,EXCISION OF PENILE PLAQUE (PEYRONIE DISEASE);
54111,F,EXCISION OF PENILE PLAQUE (PEYRONIE DISEASE); WITH GRAFT TO 5 CM IN LENGTH
54112,F,EXCISION OF PENILE PLAQUE (PEYRONIE DISEASE); WITH GRAFT GREATER THAN 5 CM IN LENGTH
54115,F,REMOVAL FOREIGN BODY FROM DEEP PENILE TISSUE (EG PLASTIC IMPLANT)
54120,F,AMPUTATION OF PENIS; PARTIAL
54125,F,AMPUTATION OF PENIS; COMPLETE
54130,F,AMPUTATION OF PENIS RADICAL; WITH BILATERAL INGUINOFEMORAL LYMPHADENECTOMY
54135,F,AMPUTATION OF PENIS RADICAL; IN CONTINUITY WITH BILATERAL PELVIC LYMPHADENECTOMY INCLUDING EXTERNAL ILIACHYPOGASTRIC ANDOBTURATOR NODES
54161,F,CIRCUMCISION SURGICAL EXCISION OTHER THAN CLAMP DEVICE OR DORSAL SLIT; EXCEPT NEWBORN
54162,F,LYSIS OR EXCISION OF PENILE POST-CIRCUMCISION ADHESIONS
54163,F,REPAIR INCOMPLETE CIRCUMCISION
54164,F,FRENULOTOMY OF PENIS
54200,F,INJECTION PROCEDURE FOR PEYRONIE DISEASE;
54205,F,INJECTION PROCEDURE FOR PEYRONIE DISEASE; WITH SURGICAL EXPOSURE OF PLAQUE
54220,F,IRRIGATION OF CORPORA CAVERNOSA FOR PRIAPISM
54230,F,INJECTION PROCEDURE FOR CORPORA CAVERNOSOGRAPHY
54231,F,DYNAMIC CAVERNOSOMETRY INCLUDING INTRACAVERNOSAL INJECTION OF VASOACTIVE DRUGS (EG PAPAVERINE PHENTOLAMINE)
54235,F,INJECTION OF CORPORA CAVERNOSA WITH PHARMACOLOGIC AGENT(S) (EG PAPAVERINE PHENTOLAMINE)
54240,F,PENILE PLETHYSMOGRAPHY
54250,F,NOCTURNAL PENILE TUMESCENCE AND/OR RIGIDITY TEST
54300,F,PLASTIC OPERATION OF PENIS FOR STRAIGHTENING OF CHORDEE (EG HYPOSPADIAS)  WITH OR WITHOUT MOBILIZATION OF URETHRA
54304,F,"PLASTIC OPERATION ON PENIS FOR CORRECTION OF CHORDEE OR FOR FIRST STAGE HYPOSPADIAS REPAIR WITH OR WITHOUT TRANSPLANTATION OFPREPUCEAND/OR""""SKINFLAPS"""""
54308,F,URETHROPLASTY FOR SECOND STAGE HYPOSPADIAS REPAIR (INCLUDING URINARY DIVERSION); LESS THAN 3 CM
54312,F,URETHROPLASTY FOR SECOND STAGE HYPOSPADIAS REPAIR (INCLUDING URINARY DIVERSION); GREATER THAN 3 CM
54316,F,"URETHROPLASTY FOR SECOND STAGE HYPOSPADIAS REPAIR (INCLUDING URINARY DIVERSION) WITH FREE SKIN GRAFT OBTAINEDFROM SITE OTHERTHAN GEN""""ITALIA"""""
54318,F,URETHROPLASTY FOR THIRD STAGE HYPOSPADIAS REPAIR TO RELEASE PENIS FROM SCROTUM (EG
54322,F,ONE STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH SIMPLE MEATAL ADVANCEMENT(EG MAGPI V-FLAP)
54324,F,ONE STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH URETHROPLASTY BY LOCAL SKIN FLAPS (EG F LIP-FLAP PREPUCIAL FLAP)
54326,F,"ONE STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH URETHROPLASTY BY LOCAL SKIN FLAPS AND MOBILIZATIONOF URE""""THRA"""""
54328,F,"ONE STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH EXTENSIVE DISSECTION TO CORRECT CHORDEE AND URETHROPLASTY""""WITH""""LOCA"""""
54332,F,"ONE STAGE PROXIMAL PENILE OR PENOSCROTAL HYPOSPADIAS REPAIR REQUIRING EXTENSIVE DISSECTION TO CORRECT CHORDEEAND URETHROPLASTY BY USEOF SKI""""NGRAFTTUBE""""AN"
54336,F,"ONE STAGE PERINEAL HYPOSPADIAS REPAIR REQUIRING EXTENSIVE DISSECTION TO CORRECT CHORDEE AND URETHROPLASTY BY USE OF SKIN GRAFT TUBE AND/OR IS""""LANDFLAP"""""
54340,F,REPAIR OF HYPOSPADIAS COMPLICATIONS (IE FISTULA STRICTURE DIVERTICULA); BY CLOSURE INCISION OR EXCISION SIMPLE
54344,F,REPAIR OF HYPOSPADIAS COMPLICATIONS (IE FISTULA STRICTURE DIVERTICULA); REQUIRING MOBILIZATION OF SKIN FLAPS AND URETHROPLASTY WITH FLAP OR PATCHGR A
54348,F,REPAIR OF HYPOSPADIAS COMPLICATIONS (IE FISTULA STRICTURE DIVERTICULA); REQUIRING EXTENSIVE DISSECTION ANDURETHROPLASTYWITH FLAP PATCH OR TUBEDGR
54352,F,"REPAIR OF HYPOSPADIAS CRIPPLE REQUIRING EXTENSIVE DISSECTION & EXCISION OF PREVIOUSLY CONSTRUCTED STRUCTURES;RE-RELEASE OF CHORDEE &RECON O""""FURETHRA &""""PE"
54360,F,PLASTIC OPERATION ON PENIS TO CORRECT ANGULATION
54380,F,PLASTIC OPERATION ON PENIS FOR EPISPADIAS DISTAL TO EXTERNAL SPHINCTER;
54385,F,PLASTIC OPERATION ON PENIS FOR EPISPADIAS DISTAL TO EXTERNAL SPHINCTER; WITH INCONTINENCE
54390,F,PLASTIC OPERATION ON PENIS FOR EPISPADIAS DISTAL TO EXTERNAL SPHINCTER; WITH EXSTROPHY OF BLADDER
54400,F,INSERTION OF PENILE PROSTHESIS; NON-INFLATABLE (SEMI-RIGID)
54401,F,INSERTION OF PENILE PROSTHESIS; INFLATABLE (SELF-CONTAINED)
54405,F,INSERTION OF MULTI-COMPONENT INFLATABLE PENILE PROSTHESIS INCLUDING PLACEMENT OF PUMP CYLINDERS AND RESERVOIR
54406,F,REMOVAL OF ALL COMPONENTS OF A MULTI-COMPONENT INFLATABLE PENILE PROSTHESIS WITHOUT REPLACEMENT OF PROSTHESIS
54408,F,REPAIR OF COMPONENT(S) OF A MULTI-COMPONENT INFLATABLE PENILE PROSTHESIS
54410,F,REMOVAL AND REPLACEMENT OF ALL COMPONENT(S) OF A MULTI-COMPONENT INFLATABLE PENILE PROSTHESIS AT THE SAME OPERATIVE SESSION
54411,F,REMOVAL&REPLACEMENT OF ALL COMPONENTS OF MULTI-COMPONENT INFLATABLE PENILE PROSTHESIS THROUGH AN INFECTED FIELD AT THE SAME OPERATIVE SESSION INCLUDING
54415,F,REMOVAL OF NON-INFLATABLE (SEMI-RIGID) OR INFLATABLE (SELF-CONTAINED) PENILE PROSTHESIS WITHOUT REPLACEMENTOF PROSTHESIS
54416,F,REMOVAL AND REPLACEMENT OF NON-INFLATABLE (SEMI-RIGID) OR INFLATABLE (SELF-CONTAINED) PENILE PROSTHESIS AT THESAME OPERATIVE SESSION
54417,F,REMOVAL & REPLACEMENT NON-INFLATABLE (SEMI-RIGID)/INFLATABLE (SELF-CONTAINED) PENILE PROSTHESIS THRU AN INFECTED FIELD AT THE SAME OPERATIVE SESSION
54420,F,CORPORA CAVERNOSA-SAPHENOUS VEIN SHUNT (PRIAPISM OPERATION) UNILATERAL OR BILATERAL
54430,F,CORPORA CAVERNOSA-CORPUS SPONGIOSUM SHUNT (PRIAPISM OPERATION) UNILATERAL OR BILATERAL
54435,F,CORPORA CAVERNOSA-GLANS PENIS FISTULIZATION (EG BIOPSY NEEDLE WINTER PROCEDURE RONGEUR OR PUNCH) FOR PRIAPISM
54440,F,PLASTIC OPERATION OF PENIS FOR INJURY
54450,F,FORESKIN MANIPULATION INCLUDING LYSIS OF PREPUTIAL ADHESIONS AND STRETCHING
54500,F,BIOPSY OF TESTIS NEEDLE (SEPARATE PROCEDURE)
54505,F,BIOPSY OF TESTIS INCISIONAL (SEPARATE PROCEDURE)
54512,F,EXCISION OF EXTRAPARENCHYMAL LESION OF TESTIS
54520,F,ORCHIECTOMY SIMPLE (INCLUDING SUBCAPSULAR) WITH OR WITHOUT TESTICULAR PROSTHESIS SCROTAL OR INGUINAL APPROACH
54522,F,ORCHIECTOMY PARTIAL
54530,F,ORCHIECTOMY RADICAL FOR TUMOR; INGUINAL APPROACH
54535,F,ORCHIECTOMY RADICAL FOR TUMOR; WITH ABDOMINAL EXPLORATION
54550,F,EXPLORATION FOR UNDESCENDED TESTIS (INGUINAL OR SCROTAL AREA)
54560,F,EXPLORATION FOR UNDESCENDED TESTIS WITH ABDOMINAL EXPLORATION
54600,F,REDUCTION OF TORSION OF TESTIS SURGICAL WITH OR WITHOUT FIXATION OF CONTRALATERAL TESTIS
54620,F,FIXATION OF CONTRALATERAL TESTIS (SEPARATE PROCEDURE)
54640,F,ORCHIOPEXY INGUINAL APPROACH WITH OR WITHOUT HERNIA REPAIR
54650,F,ORCHIOPEXY ABDOMINAL APPROACH FOR INTRA-ABDOMINAL TESTIS (EG FOWLER-STEPHENS)
54660,F,INSERTION OF TESTICULAR PROSTHESIS (SEPARATE PROCEDURE)
54670,F,SUTURE OR REPAIR OF TESTICULAR INJURY
54680,F,TRANSPLANTATION OF TESTIS(ES) TO THIGH (BECAUSE OF SCROTAL DESTRUCTION)
54690,F,LAPAROSCOPY SURGICAL; ORCHIECTOMY
54692,F,LAPAROSCOPY SURGICAL; ORCHIOPEXY FOR INTRA-ABDOMINAL TESTIS
54700,F,INCISION AND DRAINAGE OF EPIDIDYMIS  TESTIS AND/OR SCROTAL SPACE (EG ABSCESS OR HEMATOMA)
54800,F,BIOPSY OF EPIDIDYMIS NEEDLE
54830,F,EXCISION OF LOCAL LESION OF EPIDIDYMIS
54840,F,EXCISION OF SPERMATOCELE WITH OR WITHOUT EPIDIDYMECTOMY
54860,F,EPIDIDYMECTOMY; UNILATERAL
54861,F,EPIDIDYMECTOMY; BILATERAL
54900,F,EPIDIDYMOVASOSTOMY ANASTOMOSIS OF EPIDIDYMIS TO VAS DEFERENS; UNILATERAL
54901,F,EPIDIDYMOVASOSTOMY ANASTOMOSIS OF EPIDIDYMIS TO VAS DEFERENS; BILATERAL
55000,F,PUNCTURE ASPIRATION OF HYDROCELE  TUNICA VAGINALIS  WITH OR WITHOUT INJECTION OF MEDICATION
55040,F,EXCISION OF HYDROCELE; UNILATERAL
55041,F,EXCISION OF HYDROCELE; BILATERAL
55060,F,REPAIR OF TUNICA VAGINALIS HYDROCELE (BOTTLE TYPE)
55100,F,DRAINAGE OF SCROTAL WALL ABSCESS
55110,F,SCROTAL EXPLORATION
55120,F,REMOVAL OF FOREIGN BODY IN SCROTUM
55150,F,RESECTION OF SCROTUM
55175,F,SCROTOPLASTY; SIMPLE
55180,F,SCROTOPLASTY; COMPLICATED
55200,F,VASOTOMY CANNULIZATION WITH OR WITHOUT INCISION OF VAS UNILATERAL OR BILATERAL (SEPARATE PROCEDURE)
55250,F,VASECTOMY UNILATERAL OR BILATERAL (SEPARATE PROCEDURE) INCLUDING POSTOPERATIVE SEMEN EXAM(S)
55300,F,VASOTOMY FOR VASOGRAMS  SEMINAL VESICULOGRAMS OR EPIDIDYMOGRAMS UNILATERAL OR BILATERAL
55400,F,VASOVASOSTOMY VASOVASORRHAPHY
55450,F,LIGATION (PERCUTANEOUS) OF VAS DEFERENS UNILATERAL OR BILATERAL (SEPARATE PROCEDURE)
55500,F,EXCISION OF HYDROCELE OF SPERMATIC CORD UNILATERAL (SEPARATE PROCEDURE)
55520,F,EXCISION OF LESION OF SPERMATIC CORD (SEPARATE PROCEDURE)
